"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Cart Feature","Cart Page","Checkout from Cart","0","0","1","0","0"
"Login Feature","User Login","Login button disabled with empty fields","1","0","0","0","0"
"Products Feature","Products Page","Verify Products Page Title","0","0","1","0","0"
"Checkout Feature","Checkout Page","Checkout Information Validation","7","0","5","0","0"
"Products Feature","Products Page","Sort products by Price high to low","0","0","1","0","0"
"Login Feature","User Login","Login button enabled with valid input","0","0","1","0","0"
"Checkout Feature","Checkout Page","Checkout Completion","0","0","1","0","0"
"Login Feature","User Login","User enters invalid username","0","0","1","0","0"
"Checkout Feature","Checkout Page","Finish checkout and navigate back to products page","0","0","1","0","0"
"Login Feature","User Login","User leaves both username and password empty","0","0","1","0","0"
"Cart Feature","Cart Page","Cart Verification","0","0","1","0","0"
"Products Feature","Products Page","Logout from the application","0","0","1","0","0"
"Login Feature","User Login","User leaves password empty","0","0","1","0","0"
"Products Feature","Products Page","Add to Cart from Products Page","0","0","1","0","0"
"Login Feature","User Login","Valid user should login successfully","0","0","1","0","0"
"Products Feature","Products Page","Remove product from cart from Product Detail Page","0","0","1","0","0"
"Login Feature","User Login","Locked out user cannot login","0","0","1","0","0"
"Login Feature","User Login","User enters invalid password","0","0","1","0","0"
"Cart Feature","Cart Page","Continue Shopping","0","0","1","0","0"
"Products Feature","Products Page","Sort products by Price low to high","0","0","1","0","0"
"Login Feature","User Login","","0","0","1","0","0"
"Cart Feature","Cart Page","View Cart Page","0","0","1","0","0"
"Products Feature","Products Page","Sort products by Name Z to A","0","0","1","0","0"
"Cart Feature","Cart Page","Cart Modification","0","0","1","0","0"
"Checkout Feature","Checkout Page","Checkout Information Page","0","0","1","0","0"
"Checkout Feature","Checkout Page","Checkout Cancel Functionality","0","0","1","0","0"
"Login Feature","User Login","User leaves username empty","0","0","1","0","0"
"Products Feature","Products Page","Add product to cart from Product Detail Page","0","0","1","0","0"
"Products Feature","Products Page","Remove Item from Cart","0","0","1","0","0"
